level,a,a_title,a_cat,a_col,a_keys,b,b_title,b_cat,b_col,b_keys,matched,match_rate,dropped_a,dropped_b,sample_matched,sample_unmatched
sgg,15000736_getHsptlMdcncFullDown,국립중앙의료원_전국 병·의원 찾기 서비스,보건 - 보건의료,dutyAddr,22,15143265,경상북도_공중화장실 정보 조회,보건 - 보건의료,roadaddr,22,22,1.0,0,0,경산시|경주시|고령군|구미시|김천시,
sgg,15000736_getHsptlMdcncFullDown,국립중앙의료원_전국 병·의원 찾기 서비스,보건 - 보건의료,dutyAddr,22,15143756,경상북도_사회적기업 현황조회,교통및물류 - 물류등기타,roadaddr,22,22,1.0,0,0,경산시|경주시|고령군|구미시|김천시,
sgg,15000736_getHsptlMdcncFullDown,국립중앙의료원_전국 병·의원 찾기 서비스,보건 - 보건의료,dutyAddr,22,15143780,경상북도_어린이보호구역 정보조회,사회복지 - 보육·가족및여성,roadaddr,22,22,1.0,0,0,경산시|경주시|고령군|구미시|김천시,
sgg,15000736_getHsptlMdcncFullDown,국립중앙의료원_전국 병·의원 찾기 서비스,보건 - 보건의료,dutyAddr,22,15143795,경상북도_노인복지시설 현황조회,사회복지 - 노인·청소년,fcltAddr,22,22,1.0,0,0,경산시|경주시|고령군|구미시|김천시,
sgg,15000736_getHsptlMdcncListInfoInqire,국립중앙의료원_전국 병·의원 찾기 서비스,보건 - 보건의료,dutyAddr,22,15124615,경상북도 상주시_계약 정보,일반공공행정 - 일반행정,CNTRCT_TRGET_LC,23,22,1.0,0,1,경산시|경주시|고령군|구미시|김천시,군위군
sgg,15000736_getHsptlMdcncListInfoInqire,국립중앙의료원_전국 병·의원 찾기 서비스,보건 - 보건의료,dutyAddr,22,15139566,경상북도 포항시_방문 거주지 현황,일반공공행정 - 지방행정·재정지원,signgu,22,22,1.0,0,0,경산시|경주시|고령군|구미시|김천시,
sgg,15000736_getHsptlMdcncListInfoInqire,국립중앙의료원_전국 병·의원 찾기 서비스,보건 - 보건의료,dutyAddr,22,15139573,경상북도 포항시_생활 인구 거주지 현황,일반공공행정 - 지방행정·재정지원,signgu,22,22,1.0,0,0,경산시|경주시|고령군|구미시|김천시,
sgg,15000736_getHsptlMdcncListInfoInqire,국립중앙의료원_전국 병·의원 찾기 서비스,보건 - 보건의료,dutyAddr,22,15143263,경상북도_마을기업 조회 현황,교통및물류 - 물류등기타,area,22,22,1.0,0,0,경산시|경주시|고령군|구미시|김천시,
sgg,15000736_getHsptlMdcncListInfoInqire,국립중앙의료원_전국 병·의원 찾기 서비스,보건 - 보건의료,dutyAddr,22,15143264,경상북도_시군별 주민센터 현황,일반공공행정 - 일반행정,addr,22,22,1.0,0,0,경산시|경주시|고령군|구미시|김천시,
sgg,15000736_getHsptlMdcncListInfoInqire,국립중앙의료원_전국 병·의원 찾기 서비스,보건 - 보건의료,dutyAddr,22,15143265,경상북도_공중화장실 정보 조회,보건 - 보건의료,roadaddr,22,22,1.0,0,0,경산시|경주시|고령군|구미시|김천시,
sgg,15000736_getHsptlMdcncListInfoInqire,국립중앙의료원_전국 병·의원 찾기 서비스,보건 - 보건의료,dutyAddr,22,15143756,경상북도_사회적기업 현황조회,교통및물류 - 물류등기타,roadaddr,22,22,1.0,0,0,경산시|경주시|고령군|구미시|김천시,
sgg,15000736_getHsptlMdcncListInfoInqire,국립중앙의료원_전국 병·의원 찾기 서비스,보건 - 보건의료,dutyAddr,22,15143780,경상북도_어린이보호구역 정보조회,사회복지 - 보육·가족및여성,roadaddr,22,22,1.0,0,0,경산시|경주시|고령군|구미시|김천시,
sgg,15000736_getHsptlMdcncListInfoInqire,국립중앙의료원_전국 병·의원 찾기 서비스,보건 - 보건의료,dutyAddr,22,15143795,경상북도_노인복지시설 현황조회,사회복지 - 노인·청소년,fcltAddr,22,22,1.0,0,0,경산시|경주시|고령군|구미시|김천시,
sgg,15124615,경상북도 상주시_계약 정보,일반공공행정 - 일반행정,CNTRCT_TRGET_LC,23,15139566,경상북도 포항시_방문 거주지 현황,일반공공행정 - 지방행정·재정지원,signgu,22,22,1.0,1,0,경산시|경주시|고령군|구미시|김천시,군위군
sgg,15124615,경상북도 상주시_계약 정보,일반공공행정 - 일반행정,CNTRCT_TRGET_LC,23,15139573,경상북도 포항시_생활 인구 거주지 현황,일반공공행정 - 지방행정·재정지원,signgu,22,22,1.0,1,0,경산시|경주시|고령군|구미시|김천시,군위군
sgg,15124615,경상북도 상주시_계약 정보,일반공공행정 - 일반행정,CNTRCT_TRGET_LC,23,15143263,경상북도_마을기업 조회 현황,교통및물류 - 물류등기타,area,22,22,1.0,1,0,경산시|경주시|고령군|구미시|김천시,군위군
sgg,15124615,경상북도 상주시_계약 정보,일반공공행정 - 일반행정,CNTRCT_TRGET_LC,23,15143264,경상북도_시군별 주민센터 현황,일반공공행정 - 일반행정,addr,22,22,1.0,1,0,경산시|경주시|고령군|구미시|김천시,군위군
sgg,15124615,경상북도 상주시_계약 정보,일반공공행정 - 일반행정,CNTRCT_TRGET_LC,23,15143265,경상북도_공중화장실 정보 조회,보건 - 보건의료,roadaddr,22,22,1.0,1,0,경산시|경주시|고령군|구미시|김천시,군위군
sgg,15124615,경상북도 상주시_계약 정보,일반공공행정 - 일반행정,CNTRCT_TRGET_LC,23,15143756,경상북도_사회적기업 현황조회,교통및물류 - 물류등기타,roadaddr,22,22,1.0,1,0,경산시|경주시|고령군|구미시|김천시,군위군
sgg,15124615,경상북도 상주시_계약 정보,일반공공행정 - 일반행정,CNTRCT_TRGET_LC,23,15143780,경상북도_어린이보호구역 정보조회,사회복지 - 보육·가족및여성,roadaddr,22,22,1.0,1,0,경산시|경주시|고령군|구미시|김천시,군위군
sgg,15124615,경상북도 상주시_계약 정보,일반공공행정 - 일반행정,CNTRCT_TRGET_LC,23,15143795,경상북도_노인복지시설 현황조회,사회복지 - 노인·청소년,fcltAddr,22,22,1.0,1,0,경산시|경주시|고령군|구미시|김천시,군위군
sgg,15139566,경상북도 포항시_방문 거주지 현황,일반공공행정 - 지방행정·재정지원,signgu,22,15139573,경상북도 포항시_생활 인구 거주지 현황,일반공공행정 - 지방행정·재정지원,signgu,22,22,1.0,0,0,경산시|경주시|고령군|구미시|김천시,
sgg,15139566,경상북도 포항시_방문 거주지 현황,일반공공행정 - 지방행정·재정지원,signgu,22,15143263,경상북도_마을기업 조회 현황,교통및물류 - 물류등기타,area,22,22,1.0,0,0,경산시|경주시|고령군|구미시|김천시,
sgg,15139566,경상북도 포항시_방문 거주지 현황,일반공공행정 - 지방행정·재정지원,signgu,22,15143264,경상북도_시군별 주민센터 현황,일반공공행정 - 일반행정,addr,22,22,1.0,0,0,경산시|경주시|고령군|구미시|김천시,
sgg,15139566,경상북도 포항시_방문 거주지 현황,일반공공행정 - 지방행정·재정지원,signgu,22,15143265,경상북도_공중화장실 정보 조회,보건 - 보건의료,roadaddr,22,22,1.0,0,0,경산시|경주시|고령군|구미시|김천시,
sgg,15139566,경상북도 포항시_방문 거주지 현황,일반공공행정 - 지방행정·재정지원,signgu,22,15143756,경상북도_사회적기업 현황조회,교통및물류 - 물류등기타,roadaddr,22,22,1.0,0,0,경산시|경주시|고령군|구미시|김천시,
sgg,15139566,경상북도 포항시_방문 거주지 현황,일반공공행정 - 지방행정·재정지원,signgu,22,15143780,경상북도_어린이보호구역 정보조회,사회복지 - 보육·가족및여성,roadaddr,22,22,1.0,0,0,경산시|경주시|고령군|구미시|김천시,
sgg,15139566,경상북도 포항시_방문 거주지 현황,일반공공행정 - 지방행정·재정지원,signgu,22,15143795,경상북도_노인복지시설 현황조회,사회복지 - 노인·청소년,fcltAddr,22,22,1.0,0,0,경산시|경주시|고령군|구미시|김천시,
sgg,15139573,경상북도 포항시_생활 인구 거주지 현황,일반공공행정 - 지방행정·재정지원,signgu,22,15143263,경상북도_마을기업 조회 현황,교통및물류 - 물류등기타,area,22,22,1.0,0,0,경산시|경주시|고령군|구미시|김천시,
sgg,15139573,경상북도 포항시_생활 인구 거주지 현황,일반공공행정 - 지방행정·재정지원,signgu,22,15143264,경상북도_시군별 주민센터 현황,일반공공행정 - 일반행정,addr,22,22,1.0,0,0,경산시|경주시|고령군|구미시|김천시,
sgg,15139573,경상북도 포항시_생활 인구 거주지 현황,일반공공행정 - 지방행정·재정지원,signgu,22,15143265,경상북도_공중화장실 정보 조회,보건 - 보건의료,roadaddr,22,22,1.0,0,0,경산시|경주시|고령군|구미시|김천시,
